x, y, th, stamp, 
-1.6171168088912964, -2.5421745777130127, -2.744786311260133, 1759519683227001500, 
-1.6171168088912964, -2.5421745777130127, -2.7447863066788076, 1759519683278077518, 
-1.6171168088912964, -2.5421745777130127, -2.7447862913591914, 1759519683337028971, 
-1.6171168088912964, -2.5421745777130127, -2.744786302118035, 1759519683387663777, 
-1.6171168088912964, -2.5421745777130127, -2.744786290664684, 1759519683437854941, 
-1.6171168088912964, -2.5421745777130127, -2.744786334928551, 1759519683485065861, 
-1.6171168088912964, -2.5421745777130127, -2.744786335549608, 1759519683535389621, 
-1.6171168088912964, -2.5421745777130127, -2.744786320695403, 1759519683576820849, 
-1.6171168088912964, -2.5421745777130127, -2.7447863474979783, 1759519683627411486, 
-1.6171168088912964, -2.5421745777130127, -2.7447863335256555, 1759519683677550411, 
-1.6171132326126099, -2.5421762466430664, -2.7448160994082644, 1759519683724794101, 
-1.6168417930603027, -2.5420775413513184, -2.735804066308243, 1759519683786785752, 
-1.6167628765106201, -2.542083978652954, -2.697204543430526, 1759519683837093233, 
-1.6171358823776245, -2.5422990322113037, -2.642393069466933, 1759519683884768051, 
-1.6181272268295288, -2.5423567295074463, -2.565601402077094, 1759519683933786941, 
-1.619315266609192, -2.542494297027588, -2.4872203504151824, 1759519683976919888, 
-1.6207836866378784, -2.543034315109253, -2.3859724462604404, 1759519684027099744, 
-1.6229621171951294, -2.544184446334839, -2.281909363622446, 1759519684076999930, 
-1.6250921487808228, -2.5454776287078857, -2.180314182903641, 1759519684127922656, 
-1.626829981803894, -2.5470762252807617, -2.0690574303219216, 1759519684186782748, 
-1.6279022693634033, -2.548560380935669, -1.9772911482957454, 1759519684236800964, 
-1.6291885375976562, -2.5507049560546875, -1.8812662271021388, 1759519684287819013, 
-1.6301862001419067, -2.5528182983398438, -1.7936038884102474, 1759519684333769391, 
-1.63103449344635, -2.5549283027648926, -1.708461614037829, 1759519684376788619, 
-1.6321735382080078, -2.5588560104370117, -1.5719177289713837, 1759519684448666493, 
-1.6322622299194336, -2.560918092727661, -1.5171107179177423, 1759519684477424959, 
-1.6326606273651123, -2.5645482540130615, -1.4016792205648585, 1759519684536930018, 
-1.632526159286499, -2.567636013031006, -1.3063318824608263, 1759519684586824472, 
-1.6319029331207275, -2.571223735809326, -1.2099636248866528, 1759519684636822392, 
-1.6313759088516235, -2.5743038654327393, -1.1109093674906547, 1759519684687772676, 
-1.630050778388977, -2.5775985717773438, -1.0255575210431822, 1759519684732840823, 
-1.6284056901931763, -2.5809412002563477, -0.9417090959576283, 1759519684776796092, 
-1.6254863739013672, -2.5856857299804688, -0.8078044814060306, 1759519684847107104, 
-1.6238954067230225, -2.58766508102417, -0.7505182150596135, 1759519684877166116, 
-1.6208022832870483, -2.591158151626587, -0.6529803593417952, 1759519684926829295, 
-1.6167629957199097, -2.5945117473602295, -0.5390408962757973, 1759519684986797270, 
-1.61272132396698, -2.597405433654785, -0.44454065398779274, 1759519685036752615, 
-1.6084625720977783, -2.5996971130371094, -0.3485858786289087, 1759519685086808925, 
-1.6037870645523071, -2.602158308029175, -0.24994313511354999, 1759519685138781836, 
-1.6000442504882812, -2.6032886505126953, -0.17439882479554802, 1759519685176816747, 
-1.5929217338562012, -2.604947328567505, -0.03969684473079266, 1759519685246823318, 
-1.5900124311447144, -2.6054351329803467, 0.01818490619121968, 1759519685277044642, 
-1.5830682516098022, -2.605703115463257, 0.1331452449416836, 1759519685337187216, 
-1.577379822731018, -2.605645179748535, 0.22635039084620745, 1759519685386893627, 
-1.5721458196640015, -2.6049442291259766, 0.3204175979422994, 1759519685436808774, 
-1.5665696859359741, -2.60341215133667, 0.41650411586825015, 1759519685486805754, 
-1.560691237449646, -2.601109027862549, 0.5130704542655378, 1759519685536822488, 
-1.5561342239379883, -2.599071502685547, 0.5905504983705643, 1759519685576794846, 
-1.5504348278045654, -2.595026731491089, 0.6858053590051992, 1759519685626780331, 
-1.5452477931976318, -2.591012477874756, 0.7798924255875153, 1759519685677277769, 
-1.5396779775619507, -2.585773229598999, 0.894929692029425, 1759519685737465360, 
-1.5349138975143433, -2.579808235168457, 1.0004387845414755, 1759519685791887823, 
-1.5316263437271118, -2.574899673461914, 1.0772498107955788, 1759519685832762308, 
-1.528185248374939, -2.5687410831451416, 1.1728694328137346, 1759519685882765710, 
-1.5247136354446411, -2.5618863105773926, 1.2697456538988712, 1759519685933854872, 
-1.5228984355926514, -2.55466890335083, 1.359434973036845, 1759519685980828642, 
-1.5206172466278076, -2.545427083969116, 1.4817937020967462, 1759519686044438597, 
-1.5204238891601562, -2.5410802364349365, 1.5368401285368867, 1759519686073184579, 
-1.5203685760498047, -2.529984712600708, 1.664017931302569, 1759519686140806196, 
-1.5214647054672241, -2.5214524269104004, 1.760360300190721, 1759519686191006901, 
-1.5225152969360352, -2.5150113105773926, 1.8427092987444091, 1759519686232765920, 
-1.5254377126693726, -2.5056779384613037, 1.947459085781036, 1759519686286774184, 
-1.5287221670150757, -2.4972119331359863, 2.0411086835175483, 1759519686336845886, 
-1.5318516492843628, -2.489931583404541, 2.119701981820478, 1759519686379810706, 
-1.5385823249816895, -2.479855537414551, 2.2497635608453193, 1759519686447399673, 
-1.5418273210525513, -2.4759361743927, 2.3073999569614014, 1759519686477444911, 
-1.5481683015823364, -2.468792676925659, 2.403884396459711, 1759519686526937875, 
-1.5568530559539795, -2.4610908031463623, 2.5177776028741827, 1759519686586800079, 
-1.5649391412734985, -2.455172061920166, 2.6110899037722732, 1759519686636866340, 
-1.5731693506240845, -2.450259208679199, 2.7066416296363576, 1759519686686775601, 
-1.5822038650512695, -2.4461112022399902, 2.8064968242194617, 1759519686737780193, 
-1.5895849466323853, -2.4433999061584473, 2.8853535936820616, 1759519686777830422, 
-1.6028567552566528, -2.440422534942627, 3.0230021409084005, 1759519686847160694, 
-1.6091392040252686, -2.439410448074341, 3.0822625139654267, 1759519686877551098, 
-1.6223158836364746, -2.4383015632629395, -3.085619924403793, 1759519686937868753, 
-1.6330550909042358, -2.4388809204101562, -2.9946005130190567, 1759519686986825552, 
-1.6438076496124268, -2.4402856826782227, -2.8999252516047727, 1759519687036978565, 
-1.6545344591140747, -2.4428818225860596, -2.8022680395740545, 1759519687086838195, 
-1.6648049354553223, -2.4461779594421387, -2.705425212460652, 1759519687136829415, 
-1.6722538471221924, -2.449815034866333, -2.62837784887357, 1759519687177819537, 
-1.6821757555007935, -2.455075263977051, -2.529178840547184, 1759519687227193854, 
-1.6916747093200684, -2.461317777633667, -2.429045518012455, 1759519687278082183, 
-1.7016226053237915, -2.4699668884277344, -2.3114256330375778, 1759519687336848173, 
-1.709822416305542, -2.4785499572753906, -2.211762416305643, 1759519687386838816, 
-1.7167901992797852, -2.488197088241577, -2.117740116545082, 1759519687436837177, 
-1.7239989042282104, -2.4987845420837402, -2.0221189958978947, 1759519687487860033, 
-1.7295364141464233, -2.509733200073242, -1.9330953603558516, 1759519687537853761, 
-1.7332179546356201, -2.5190274715423584, -1.864048819997016, 1759519687577834912, 
-1.7364999055862427, -2.529930830001831, -1.7766602469675132, 1759519687627399109, 
-1.7391332387924194, -2.54203724861145, -1.6812553586836554, 1759519687677085999, 
-1.7406785488128662, -2.5562994480133057, -1.570370704500013, 1759519687736822650, 
-1.741190791130066, -2.5686635971069336, -1.47652668914157, 1759519687788833297, 
-1.7398180961608887, -2.5809998512268066, -1.39268443013804, 1759519687836835978, 
-1.737883448600769, -2.5932703018188477, -1.3061635391922328, 1759519687886782798, 
-1.7344872951507568, -2.6058058738708496, -1.2164355344928304, 1759519687936991541, 
-1.7312766313552856, -2.61503529548645, -1.1445707045588989, 1759519687976829477, 
-1.7265088558197021, -2.626936197280884, -1.0545077145788577, 1759519688028033500, 
-1.7201651334762573, -2.6375601291656494, -0.9711056462286125, 1759519688077028264, 
-1.7119848728179932, -2.649616241455078, -0.8681374492592543, 1759519688137007638, 
-1.7035802602767944, -2.6598353385925293, -0.7784909010886967, 1759519688187817587, 
-1.6942702531814575, -2.66890025138855, -0.6952173911148627, 1759519688236969129, 
-1.6845437288284302, -2.6773030757904053, -0.6129022957480897, 1759519688286786146, 
-1.673744797706604, -2.6850507259368896, -0.5314549471922237, 1759519688336878856, 
