x, y, th, stamp, 
-3.1473031044006348, -3.3744542598724365, 1.6624664558824336, 1759519744081852693, 
-3.1473031044006348, -3.3744542598724365, 1.662466436087635, 1759519744127750196, 
-3.1473031044006348, -3.3744542598724365, 1.6624664259702693, 1759519744190448060, 
-3.1473031044006348, -3.3744542598724365, 1.6624664160222296, 1759519744288398715, 
-3.1473031044006348, -3.3744542598724365, 1.6624664199113166, 1759519744380545529, 
-3.1475179195404053, -3.3721678256988525, 1.6631792360887108, 1759519744498437678, 
-3.14782977104187, -3.3693413734436035, 1.6625797381456011, 1759519744527917590, 
-3.1481969356536865, -3.360729932785034, 1.6619722331182798, 1759519744590474127, 
-3.1491594314575195, -3.350909948348999, 1.6617019338402188, 1759519744640395569, 
-3.1500940322875977, -3.3399007320404053, 1.6610776883375056, 1759519744692444932, 
-3.151045322418213, -3.3268380165100098, 1.6615095432397433, 1759519744736822323, 
-3.1522114276885986, -3.312922954559326, 1.6612312462854362, 1759519744781597645, 
-3.1538374423980713, -3.2945005893707275, 1.6606987661917423, 1759519744830684783, 
-3.155374765396118, -3.274174690246582, 1.6606987661917356, 1759519744880460265, 
-3.157731294631958, -3.247631311416626, 1.6610971018466223, 1759519744941707422, 
-3.1595869064331055, -3.2248055934906006, 1.6603818427907664, 1759519744990397087, 
-3.1614227294921875, -3.2021613121032715, 1.6579699858523786, 1759519745039811943, 
-3.1635093688964844, -3.1794984340667725, 1.6571013480858399, 1759519745091447785, 
-3.165160655975342, -3.158550500869751, 1.6585895634512235, 1759519745137571890, 
-3.1668922901153564, -3.138700246810913, 1.6594638929290206, 1759519745181042336, 
-3.1689391136169434, -3.1161949634552, 1.6594638929290206, 1759519745230711393, 
-3.1713039875030518, -3.0865888595581055, 1.6575383145098102, 1759519745297026649, 
-3.1728971004486084, -3.0663318634033203, 1.6566012424979435, 1759519745340882518, 
-3.1741251945495605, -3.0502045154571533, 1.6566696878787273, 1759519745375808668, 
-3.1766607761383057, -3.0209639072418213, 1.6566696878787273, 1759519745440910188, 
-3.17863392829895, -2.99837327003479, 1.6577165717518114, 1759519745491125664, 
-3.180171012878418, -2.978400707244873, 1.6560116048212052, 1759519745536145726, 
-3.1818885803222656, -2.9576895236968994, 1.6551488223239785, 1759519745580836526, 
-3.183729887008667, -2.934964179992676, 1.65457585453859, 1759519745630372785, 
-3.185544013977051, -2.91231632232666, 1.6545755035889826, 1759519745680465390, 
-3.1872754096984863, -2.8897719383239746, 1.6562711029712969, 1759519745730904459, 
-3.189422607421875, -2.862394332885742, 1.6564705983533314, 1759519745790809121, 
-3.1911418437957764, -2.839797019958496, 1.6552579776509337, 1759519745840760288, 
-3.193108558654785, -2.816990852355957, 1.654176418413489, 1759519745890452197, 
-3.194855213165283, -2.7943356037139893, 1.654176067527577, 1759519745941455038, 
-3.196331739425659, -2.7760210037231445, 1.6547854335872185, 1759519745981491942, 
-3.198042392730713, -2.753706455230713, 1.6547854335872185, 1759519746030592784, 
-3.1998281478881836, -2.7309815883636475, 1.6553052757923996, 1759519746080459724, 
-3.2016587257385254, -2.7080881595611572, 1.6553051076683118, 1759519746129951736, 
-3.2034378051757812, -2.6853764057159424, 1.6553051076683118, 1759519746180149316, 
-3.205683708190918, -2.6584482192993164, 1.6556017388005895, 1759519746240428132, 
-3.207437515258789, -2.635673761367798, 1.6556020899136377, 1759519746290564585, 
-3.2090659141540527, -2.612914800643921, 1.655008104771671, 1759519746341457595, 
-3.2107419967651367, -2.5949058532714844, 1.653437767151332, 1759519746381448269, 
-3.2122883796691895, -2.572129011154175, 1.6534377671520235, 1759519746429928263, 
-3.21410870552063, -2.54954195022583, 1.6534377671520235, 1759519746480532648, 
-3.216343402862549, -2.5225915908813477, 1.6542367537292635, 1759519746540836529, 
-3.217651605606079, -2.5045950412750244, 1.6542367537292635, 1759519746581503039, 
-3.219789505004883, -2.477285146713257, 1.6542367537292635, 1759519746640679728, 
-3.2216241359710693, -2.454336404800415, 1.653974597592545, 1759519746691473447, 
-3.223311185836792, -2.4318125247955322, 1.653974597592545, 1759519746741493280, 
-3.2248809337615967, -2.4134926795959473, 1.6548955749529466, 1759519746781438906, 
-3.2266604900360107, -2.389066219329834, 1.6550862862527032, 1759519746834587029, 
-3.22839617729187, -2.3701510429382324, 1.654392095662258, 1759519746876575292, 
-3.230785846710205, -2.3386762142181396, 1.6537757231506793, 1759519746946937119, 
-3.2318320274353027, -2.325033664703369, 1.6537757231506793, 1759519746975245788, 
-3.234144687652588, -2.297586679458618, 1.654010022046995, 1759519747036511835, 
-3.2359864711761475, -2.2733330726623535, 1.654010022046995, 1759519747090427444, 
-3.237689733505249, -2.2507617473602295, 1.654010022046995, 1759519747141440195, 
-3.2390379905700684, -2.23226261138916, 1.6542902567152686, 1759519747182468236, 
-3.240788459777832, -2.2094297409057617, 1.6542902567152686, 1759519747230586261, 
-3.242805242538452, -2.186486005783081, 1.65352009624516, 1759519747280464808, 
-3.2443113327026367, -2.164091110229492, 1.6540881961627605, 1759519747330635018, 
-3.2461390495300293, -2.1416525840759277, 1.6540881961627605, 1759519747380788302, 
-3.2482874393463135, -2.1142866611480713, 1.6535957666689383, 1759519747440597318, 
-3.2500102519989014, -2.09196138381958, 1.651881596645809, 1759519747490564465, 
-3.2517917156219482, -2.069232940673828, 1.65188177900615, 1759519747541552273, 
-3.2530927658081055, -2.0512776374816895, 1.651874907223865, 1759519747581557135, 
-3.254810333251953, -2.028759241104126, 1.651874907223865, 1759519747630791731, 
-3.2566475868225098, -2.00614595413208, 1.651874907223865, 1759519747680625583, 
-3.2582345008850098, -1.9832319021224976, 1.6514683473375436, 1759519747730929975, 
-3.2600865364074707, -1.9602456092834473, 1.650176572187351, 1759519747781664166, 
-3.2621283531188965, -1.9331458806991577, 1.650176572187351, 1759519747841363518, 
-3.263855218887329, -1.9106688499450684, 1.6508845089251627, 1759519747891562793, 
-3.2657179832458496, -1.8879802227020264, 1.6508845089251627, 1759519747941580232, 
-3.2670745849609375, -1.8698078393936157, 1.6494342299543518, 1759519747981477218, 
-3.268855094909668, -1.847156286239624, 1.6486626109383946, 1759519748030456758, 
-3.270693302154541, -1.8246737718582153, 1.6486626109383946, 1759519748080472531, 
-3.272202968597412, -1.8022129535675049, 1.649722287892372, 1759519748130274542, 
-3.27424955368042, -1.7751340866088867, 1.649722287892372, 1759519748191388417, 
-3.2758755683898926, -1.7524241209030151, 1.6482586395787406, 1759519748240489687, 
-3.2775683403015137, -1.7293927669525146, 1.6482586395787406, 1759519748290428562, 
-3.2795586585998535, -1.7068132162094116, 1.6470373466498016, 1759519748341506893, 
-3.280884027481079, -1.6889700889587402, 1.6474077420209832, 1759519748381479980, 
-3.282550811767578, -1.6665312051773071, 1.6485446533611454, 1759519748432475871, 
-3.284283399581909, -1.6438260078430176, 1.647060610925129, 1759519748480474625, 
-3.2858526706695557, -1.6211358308792114, 1.6463770773551674, 1759519748531292404, 
-3.2879207134246826, -1.594102382659912, 1.6464882266478955, 1759519748590965808, 
-3.289529800415039, -1.5715415477752686, 1.6477214709170618, 1759519748640449593, 
-3.2911019325256348, -1.5488405227661133, 1.6479800449282724, 1759519748690495927, 
-3.292896270751953, -1.5261924266815186, 1.6462604836769688, 1759519748741603051, 
-3.294069766998291, -1.5081195831298828, 1.6454207354514168, 1759519748781464940, 
-3.295830011367798, -1.485528588294983, 1.6438250994447818, 1759519748831485889, 
-3.2972705364227295, -1.4629225730895996, 1.6440030972856752, 1759519748880488984, 
-3.299043893814087, -1.4359257221221924, 1.643803021603015, 1759519748941630342, 
-3.3004140853881836, -1.417806625366211, 1.6420322756292363, 1759519748980851547, 
-3.302011728286743, -1.3918869495391846, 1.6412821448887838, 1759519749041496064, 
-3.30364990234375, -1.3680498600006104, 1.6403191338851393, 1759519749090462327, 
-3.3051915168762207, -1.3456753492355347, 1.6377945980929391, 1759519749141488083, 
-3.3063576221466064, -1.3271633386611938, 1.6374370796194928, 1759519749181463435, 
-3.307983875274658, -1.3055654764175415, 1.6371759209448054, 1759519749231469994, 
-3.3091533184051514, -1.2829605340957642, 1.6389539114684006, 1759519749281583560, 
-3.3109517097473145, -1.2558393478393555, 1.6367014258933459, 1759519749341218996, 
-3.312455415725708, -1.2332251071929932, 1.6352579563919998, 1759519749391670787, 
-3.313843011856079, -1.2107346057891846, 1.6349139932683139, 1759519749442473782, 
-3.3153796195983887, -1.1886718273162842, 1.6348140312377704, 1759519749490492310, 
-3.3165910243988037, -1.166382074356079, 1.6341071003432637, 1759519749540466254, 
-3.317762613296509, -1.1473134756088257, 1.6329073636900053, 1759519749582500410, 
-3.319153308868408, -1.124819040298462, 1.632516777532989, 1759519749632472753, 
-3.3203423023223877, -1.1019597053527832, 1.6324879368978606, 1759519749683569776, 
-3.321765184402466, -1.080657720565796, 1.631309566573274, 1759519749729329679, 
-3.3233981132507324, -1.0524438619613647, 1.6297505820098226, 1759519749792567270, 
