e, e_dot, e_int, stamp, 
0.7853981633953309, 0.0, 0.0, 1761338587.6235104, 
0.7853981633953349, 0.0, 0.0, 1761338587.6756895, 
0.7853981633953371, 3.0191087624995804e-14, 0.1657668298727975, 1761338587.8345714, 
0.7853981633953309, -3.767646003602777e-14, 0.1632329563269029, 1761338587.8835242, 
0.7853981633953415, 2.872547696112592e-14, 0.07771398902027937, 1761338587.9335196, 
0.785398163395342, 7.402299308199112e-14, 0.07851023588850586, 1761338587.9834864, 
0.785398163395373, 2.6172621693158976e-13, 0.07069466572253091, 1761338588.023531, 
0.7853981633953788, 2.964817459855897e-13, 0.07152214473412395, 1761338588.0745513, 
0.7853981633953673, -3.984020852604116e-14, 0.07904600309965112, 1761338588.1241753, 
0.7855929401276138, 0.0013069430824185976, 0.07799780981122881, 1761338588.173853, 
0.7765239037771337, -0.026268187438672774, 0.12465746021584981, 1761338588.2834811, 
0.7549736233488087, -0.0994220048681584, 0.16189562147927225, 1761338588.3834634, 
0.7222023629340995, -0.1916629342443692, 0.14360086120723137, 1761338588.4746344, 
0.6721263009078262, -0.2732565079464668, 0.14325532398676655, 1761338588.5834196, 
0.6226240155125122, -0.31826978662086775, 0.14044254631011405, 1761338588.6835277, 
0.5739293647158323, -0.32721533298755623, 0.12461897774552926, 1761338588.7834845, 
0.5264453036261676, -0.33630700496566873, 0.10967664154606703, 1761338588.8744915, 
0.4764380712043432, -0.3424040335555114, 0.09983494831189903, 1761338588.9734275, 
0.4511337310699419, -0.3361662665020013, 0.07233158826408448, 1761338589.0237293, 
0.3738306878343529, -0.32797407043254784, 0.09155699329911073, 1761338589.1844852, 
0.3346381600055155, -0.306962319673776, 0.0965666012933302, 1761338589.2735562, 
0.2950163964885886, -0.2785996477055482, 0.06327992735417849, 1761338589.3736656, 
0.2552471929732665, -0.2520012126452722, 0.062094216781732235, 1761338589.4840684, 
0.22487625976244008, -0.22069250527315476, 0.05452230166597831, 1761338589.5846817, 
0.1986120848584645, -0.19787315509739808, 0.04312971692902459, 1761338589.674701, 
0.16991397935125274, -0.19418407479012764, 0.03732682831858484, 1761338589.7733908, 
0.13589942064222482, -0.19991779226855733, 0.0351051022017966, 1761338589.8834836, 
0.11412967769874705, -0.1748333572303945, 0.029549279683843615, 1761338589.9844856, 
0.09849870143071016, -0.1303197098264035, 0.022085893809743226, 1761338590.073591, 
0.08311247243538045, -0.10452865626672425, 0.01976208291971821, 1761338590.1849525, 
0.06728375317565227, -0.09950058708738481, 0.017429534553397442, 1761338590.283674, 
0.05489143873107594, -0.09442105049523965, 0.013653863140109048, 1761338590.3844855, 
0.04643749993040114, -0.07260168668218926, 0.010673938721945489, 1761338590.4735875, 
0.03527640484774519, -0.06482204373853889, 0.009160571830989518, 1761338590.5856612, 
0.027661629653368713, -0.059118266546143085, 0.007655946267914161, 1761338590.683578, 
0.02154862342988917, -0.04611389058132909, 0.005599634200677069, 1761338590.784496, 
0.018151996726260666, -0.032757024869916024, 0.004289204965579088, 1761338590.8745995, 
0.013414959902144474, -0.02700722421808958, 0.0035311497889096346, 1761338590.9839377, 
0.008263701725640615, -0.031683281584650995, 0.00277390197751149, 1761338591.0835264, 
0.005891881353184303, -0.025150732711492364, 0.0018339195306766325, 1761338591.1834898, 
0.004169326812994978, -0.014274854397086973, 0.001161557984727926, 1761338591.2736871, 
0.0011070159063635288, -0.01566934337781795, 0.0007442379140013607, 1761338591.3834064, 
0.0010681667764020908, -0.009432849241798566, 0.0004437028528483907, 1761338591.483492, 
0.0011319625254833099, 8.115941342376212e-05, 0.00022167341692951736, 1761338591.5844922, 
0.0009725875060868638, -0.00037797389205713626, 0.0002022811330347643, 1761338591.6747613, 
-0.0017594645850413926, -0.009806199390511793, 2.17480179167607e-05, 1761338591.7735589, 
-0.0023616428761745745, -0.011017461709169651, -0.00022073804170986164, 1761338591.8850868, 
-0.0033504405218769406, -0.005288514775083838, -0.0005130546081814355, 1761338591.979562, 
-0.0018671228450126698, 0.001749857560051774, -0.00047713471044119376, 1761338592.073946, 
-0.0018626739532878744, 0.005253474494107392, -0.00045789371687092787, 1761338592.1735783, 
-0.0014369834774390355, 0.0013055305259365429, -0.00036094214552920013, 1761338592.2835207, 
-0.0014956932137413226, 0.0010868832094980104, -0.0003292567994692673, 1761338592.3795633, 
-0.0030134168515711934, -0.004591115501568374, -0.00041890836303038517, 1761338592.4948738, 
-0.002933903060582388, -0.004053813051151806, -0.00048323800679239606, 1761338592.5743387, 
-0.002568234610315301, 0.0014433855078733674, -0.0005373037353370796, 1761338592.684164, 
-0.001239029728941965, 0.00570654601682085, -0.0004633741962009932, 1761338592.7805524, 
0.0008918968511508751, 0.012132336571655243, -0.00018526996154547617, 1761338592.8748124, 
0.0006778413014560947, 0.0068206314191639845, 2.1391549077918094e-05, 1761338592.9746044, 
0.0008986667821146987, -3.859236212681846e-05, 0.0001716478913369734, 1761338593.0834262, 
