x, y, theta, stamp, 
0.0, 0.0, 2.117325283494802e-12, 1761338587623510310, 
0.0, 0.0, 2.1135082676109605e-12, 1761338587675689389, 
0.0, 0.0, 2.1112326952021194e-12, 1761338587834571193, 
0.0, 0.0, 2.117357149571945e-12, 1761338587883524044, 
0.0, 0.0, 2.1066365882006665e-12, 1761338587933519717, 
0.0, 0.0, 2.106188035098311e-12, 1761338587983486381, 
0.0, 0.0, 2.0751089523940815e-12, 1761338588023530961, 
0.0, 0.0, 2.0694153298853146e-12, 1761338588074551204, 
0.0, 0.0, 2.0808281162240078e-12, 1761338588124175458, 
2.203470558015397e-06, 2.0825726096518338e-05, -0.00020408796514949766, 1761338588173852891, 
0.007938179187476635, 0.00035577540984377265, 0.012681230616077675, 1761338588283481098, 
0.023987434804439545, 0.0009227442787960172, 0.04210180247825286, 1761338588383463552, 
0.04352601245045662, 0.0021267165429890156, 0.08437581583604396, 1761338588474634581, 
0.07551802694797516, 0.006154099479317665, 0.14941465246714186, 1761338588583419591, 
0.10692659765481949, 0.01187412440776825, 0.21325880796055224, 1761338588683527751, 
0.13638195395469666, 0.019129062071442604, 0.2749526865608193, 1761338588783484341, 
0.16269631683826447, 0.02734655886888504, 0.3335945741247955, 1761338588874491289, 
0.19166965782642365, 0.03829984739422798, 0.3953923330502178, 1761338588973427533, 
0.20586252212524414, 0.04443177953362465, 0.42626563213708923, 1761338589023729399, 
0.2499215006828308, 0.066951684653759, 0.5198505438355826, 1761338589184485205, 
0.27377021312713623, 0.08117153495550156, 0.5673065502321741, 1761338589273556201, 
0.2993205189704895, 0.09809087961912155, 0.6152933999837013, 1761338589373665647, 
0.32653993368148804, 0.1180604100227356, 0.6633928164952736, 1761338589484068442, 
0.3506353795528412, 0.13737870752811432, 0.7006417138540028, 1761338589584681640, 
0.37177130579948425, 0.15562114119529724, 0.7325259544420225, 1761338589674701087, 
0.3943679928779602, 0.1765819787979126, 0.7667196618518461, 1761338589773390852, 
0.41843223571777344, 0.20053398609161377, 0.8059877816868902, 1761338589883483771, 
0.43952810764312744, 0.2231932431459427, 0.8316514916665476, 1761338589984485745, 
0.4576929211616516, 0.24407339096069336, 0.8499843584833714, 1761338590073591078, 
0.47995108366012573, 0.2699107229709625, 0.8687447218920473, 1761338590184952635, 
0.4995059370994568, 0.2937033772468567, 0.8870265154884723, 1761338590283674121, 
0.5188227891921997, 0.3177618086338043, 0.9016359980250338, 1761338590384485274, 
0.5355271697044373, 0.33951807022094727, 0.9114662146109478, 1761338590473587560, 
0.5549126863479614, 0.36528950929641724, 0.9239591338482942, 1761338590585661266, 
0.5714622139930725, 0.38754802942276, 0.9326044668951761, 1761338590683578203, 
0.5874007940292358, 0.4094240665435791, 0.9394359434908598, 1761338590784496242, 
0.601073145866394, 0.4285065531730652, 0.9432331681447299, 1761338590874599360, 
0.6174569725990295, 0.45116478204727173, 0.9486656794110475, 1761338590983937712, 
0.6317272186279297, 0.47104504704475403, 0.9543432883465076, 1761338591083526510, 
0.645219087600708, 0.49040135741233826, 0.9567355695860299, 1761338591183489770, 
0.6570056676864624, 0.5071043372154236, 0.958674090783096, 1761338591273687006, 
0.6706752777099609, 0.5267241597175598, 0.9617600955435924, 1761338591383406402, 
0.6829915046691895, 0.5444316267967224, 0.9617910260803567, 1761338591483491808, 
0.6943523287773132, 0.5606983304023743, 0.9617910260803567, 1761338591584492296, 
0.7042840123176575, 0.5751174092292786, 0.9617910260803567, 1761338591674761132, 
0.7152355909347534, 0.59072345495224, 0.9646709948656548, 1761338591773558669, 
0.7262884974479675, 0.6071146130561829, 0.9646703340985392, 1761338591885086661, 
0.7360280752182007, 0.620978832244873, 0.9658026519849287, 1761338591979562007, 
0.7449048161506653, 0.6339115500450134, 0.9640796287471399, 1761338592073946033, 
0.7542734146118164, 0.6473581790924072, 0.9640729136331663, 1761338592173578265, 
0.7641444802284241, 0.6615135073661804, 0.9636619426742156, 1761338592283520735, 
0.7724366784095764, 0.673575222492218, 0.9634890220185414, 1761338592379563285, 
0.7818350791931152, 0.6869893074035645, 0.9651076354433277, 1761338592494873799, 
0.7880761623382568, 0.6961104273796082, 0.9647707366983576, 1761338592574338438, 
0.7967326045036316, 0.7084773182868958, 0.9644792209329638, 1761338592684164021, 
0.8042361736297607, 0.7191494703292847, 0.9632992766424918, 1761338592780552363, 
0.8106979727745056, 0.7284573316574097, 0.9611035535011536, 1761338592874812331, 
0.8176093697547913, 0.7385293841362, 0.9610340733112136, 1761338592974604412, 
0.8249820470809937, 0.7488888502120972, 0.961205428630058, 1761338593083426269, 
0.8310323357582092, 0.7577083110809326, 0.9595929503340552, 1761338593181562727, 
0.8368911743164062, 0.7660570740699768, 0.9606531238801771, 1761338593273490553, 
0.8427923917770386, 0.7744633555412292, 0.9604503178741027, 1761338593371939634, 
0.8491262197494507, 0.7834782004356384, 0.9619124712498651, 1761338593483500181, 
0.854539692401886, 0.7911940217018127, 0.9621510477278813, 1761338593581493172, 
0.8593553900718689, 0.7980297803878784, 0.9631760874427256, 1761338593673495816, 
0.864940345287323, 0.8060169816017151, 0.9633354854436665, 1761338593784541524, 
0.8697272539138794, 0.8129720091819763, 0.9626505755852923, 1761338593884720122, 
0.8743327260017395, 0.8197725415229797, 0.9621818375149016, 1761338593982489537, 
0.8784488439559937, 0.8257587552070618, 0.9617548588047303, 1761338594074525373, 
0.8833939433097839, 0.8327879309654236, 0.9631833541590071, 1761338594184830981, 
0.8876526355743408, 0.8387759327888489, 0.9631273400413992, 1761338594285603532, 
0.8915743827819824, 0.8444338440895081, 0.9623048141932167, 1761338594382493584, 
0.8952754735946655, 0.8497222661972046, 0.9623788750699853, 1761338594475495260, 
0.8991201519966125, 0.8553397059440613, 0.9622876816651859, 1761338594573391396, 
0.9030482172966003, 0.8608425259590149, 0.9624451495216085, 1761338594683675492, 
0.9066836833953857, 0.8661037087440491, 0.9626374748364627, 1761338594783543978, 
0.9099045991897583, 0.8704816699028015, 0.9617595195518568, 1761338594874536642, 
0.9134193658828735, 0.8756698369979858, 0.9621962241573413, 1761338594984806317, 
0.9163722991943359, 0.8800128698348999, 0.9622472741647723, 1761338595083672042, 
0.9195330739021301, 0.8844274282455444, 0.9635460557311476, 1761338595184547940, 
0.9221374988555908, 0.888119101524353, 0.9638198712443986, 1761338595274626530, 
0.9248855113983154, 0.8921717405319214, 0.9637743381807741, 1761338595374510608, 
0.9278201460838318, 0.8963046073913574, 0.9636379367575075, 1761338595484705788, 
0.9303841590881348, 0.9000183343887329, 0.9638610011472694, 1761338595583746068, 
0.9326255917549133, 0.9032188057899475, 0.9634906795905176, 1761338595675972892, 
0.9350174069404602, 0.906600832939148, 0.9634312958109386, 1761338595774249399, 
0.9376800060272217, 0.9103209376335144, 0.9634312958109386, 1761338595884745759, 
0.9397855997085571, 0.9135282039642334, 0.9624675933902048, 1761338595984552095, 
0.941662073135376, 0.9163067936897278, 0.9624675933902048, 1761338596075563823, 
0.9436687231063843, 0.9192248582839966, 0.9624675933902048, 1761338596174477298, 
0.9460023045539856, 0.9225465059280396, 0.9627205731943975, 1761338596284557851, 
0.9478585720062256, 0.9252788424491882, 0.9627205731943975, 1761338596384556649, 
0.9495177268981934, 0.9277014136314392, 0.9627205731943975, 1761338596474618237, 
0.951619565486908, 0.93056720495224, 0.9627205731943975, 1761338596584679217, 
0.953311562538147, 0.9329675436019897, 0.9627205731943975, 1761338596684676008, 
0.9548727869987488, 0.9353382587432861, 0.9618031684988558, 1761338596784497482, 
0.9563907384872437, 0.9375222325325012, 0.9613481871196076, 1761338596874589407, 
0.9583249092102051, 0.940237820148468, 0.9613481871196076, 1761338596985569798, 
0.9598972797393799, 0.9427551031112671, 0.9613481871196076, 1761338597084476962, 
