x, y, theta, stamp, 
4.1205183265446976e-08, -4.799401409627535e-08, 4.768572213740855e-07, 1761333880527039205, 
4.1205183265446976e-08, -4.799401409627535e-08, 4.768545324206811e-07, 1761333880577971947, 
4.1205183265446976e-08, -4.799401409627535e-08, 4.768508944056987e-07, 1761333880637589663, 
0.0021958407014608383, 0.00014222021854948252, 0.0020490072848948875, 1761333880687180931, 
0.006906971801072359, 0.0004320250591263175, 0.00957307260297646, 1761333880736941626, 
0.012499302625656128, 0.0006625294918194413, 0.01671862706537499, 1761333880776993906, 
0.019957728683948517, 0.0014025591081008315, 0.02747526409048183, 1761333880826936895, 
0.02953970432281494, 0.002538771368563175, 0.045060730152781794, 1761333880876958893, 
0.04196064546704292, 0.0035892329178750515, 0.06414800802573867, 1761333880927238673, 
0.05677346885204315, 0.004854155238717794, 0.08444351753784347, 1761333880977150107, 
0.06954891979694366, 0.0062240855768322945, 0.10152517815134177, 1761333881016934826, 
0.09218576550483704, 0.009241994470357895, 0.132870441799972, 1761333881087683946, 
0.10757112503051758, 0.01169331930577755, 0.1549984086492092, 1761333881136941131, 
0.11966383457183838, 0.013795074075460434, 0.1726751211011603, 1761333881176931967, 
0.14945495128631592, 0.02019113302230835, 0.20731556048182587, 1761333881277065814, 
0.18000684678554535, 0.02767925336956978, 0.24329984423949894, 1761333881376899088, 
0.21290256083011627, 0.03716884180903435, 0.27978500082374747, 1761333881487213841, 
0.23946541547775269, 0.04589439183473587, 0.31111104491368047, 1761333881578179568, 
0.268735408782959, 0.056537799537181854, 0.3443774154707027, 1761333881677899113, 
0.297044038772583, 0.06771612167358398, 0.3773775421120901, 1761333881778127224, 
0.32774052023887634, 0.08102765679359436, 0.4057669735291272, 1761333881887724563, 
0.3524772822856903, 0.09254606068134308, 0.4328304549001451, 1761333881977329596, 
0.3789837658405304, 0.1057354211807251, 0.4624701083948788, 1761333882073450162, 
0.40540480613708496, 0.1201041042804718, 0.49225266966468206, 1761333882172765495, 
0.43597713112831116, 0.13801629841327667, 0.5273051253848337, 1761333882287098961, 
0.45922794938087463, 0.15270684659481049, 0.5512049865845612, 1761333882377126644, 
0.4853307902812958, 0.16976888477802277, 0.579928763821693, 1761333882476962394, 
0.5089492201805115, 0.18616098165512085, 0.6064466490051267, 1761333882573804914, 
0.5363662242889404, 0.2066739797592163, 0.6373856612846475, 1761333882683145927, 
0.5601316690444946, 0.22555093467235565, 0.661036584633483, 1761333882781974986, 
0.5815362334251404, 0.24331414699554443, 0.68078391656979, 1761333882872964125, 
0.6040974259376526, 0.26275384426116943, 0.7054456526897093, 1761333882973557171, 
0.6272923946380615, 0.28361573815345764, 0.7311304451492318, 1761333883081968050, 
0.6466049551963806, 0.30216339230537415, 0.7520702040283402, 1761333883181977527, 
0.6641210913658142, 0.3193039000034332, 0.7697650199658569, 1761333883271976841, 
0.6830574870109558, 0.33846819400787354, 0.7898369395548138, 1761333883378233637, 
0.7016236782073975, 0.3582615852355957, 0.8109546035900357, 1761333883487044338, 
0.7162432074546814, 0.3744332194328308, 0.8298650521430887, 1761333883577002653, 
0.7316806316375732, 0.3921491801738739, 0.850409678243515, 1761333883676943702, 
0.7457276582717896, 0.4087613821029663, 0.8673637422782489, 1761333883773788638, 
0.7614907622337341, 0.42821672558784485, 0.885967786419296, 1761333883886964847, 
0.773230254650116, 0.44339439272880554, 0.9027109406288988, 1761333883976980836, 
0.7852089405059814, 0.4596596956253052, 0.9207357576601221, 1761333884076972479, 
0.7966946363449097, 0.47548002004623413, 0.9375396928521071, 1761333884173014903, 
0.8092867136001587, 0.4934508204460144, 0.9572802442194226, 1761333884288204670, 
0.8186464309692383, 0.5075722932815552, 0.9696456622005315, 1761333884376990838, 
0.8283548951148987, 0.5223875045776367, 0.9844366613084325, 1761333884476950040, 
0.8373348116874695, 0.5367400646209717, 0.9998217820024302, 1761333884574739282, 
0.8471419215202332, 0.5530482530593872, 1.0171453088124114, 1761333884689271201, 
0.8545651435852051, 0.5655351281166077, 1.0281716723888754, 1761333884776988189, 
0.8622548580169678, 0.5791406631469727, 1.04176216230802, 1761333884876957398, 
0.8695990443229675, 0.5924045443534851, 1.0545419825611981, 1761333884975827382, 
0.8772178888320923, 0.6068342328071594, 1.0687706096966942, 1761333885085417270, 
0.8833210468292236, 0.6183463931083679, 1.0805135577505933, 1761333885178065840, 
0.8896268606185913, 0.6306264996528625, 1.09028181240194, 1761333885276978231, 
0.8953415155410767, 0.642378568649292, 1.1008337840617861, 1761333885374851377, 
0.901476263999939, 0.6551998853683472, 1.1126117868634626, 1761333885485231368, 
0.9063372611999512, 0.665725827217102, 1.1214676881901404, 1761333885576997222, 
0.9108599424362183, 0.6762073636054993, 1.131459749506875, 1761333885677947510, 
0.915429949760437, 0.686671793460846, 1.1416343880083768, 1761333885776700480, 
0.9200720191001892, 0.6977007985115051, 1.1524117299114993, 1761333885885959604, 
0.9239672422409058, 0.7067260146141052, 1.1608184321545911, 1761333885977995134, 
0.9280266761779785, 0.7164910435676575, 1.170751089965263, 1761333886080002395, 
0.9316287636756897, 0.7256594300270081, 1.1799707986547094, 1761333886176995462, 
0.9356448650360107, 0.7361318469047546, 1.1909022227366437, 1761333886287459036, 
0.9383304715156555, 0.7436131238937378, 1.1981658204992198, 1761333886376980273, 
0.9413623809814453, 0.7523341774940491, 1.2075866416464924, 1761333886477012613, 
0.9443488121032715, 0.7608019709587097, 1.217286359734608, 1761333886576998027, 
0.94722980260849, 0.7695478796958923, 1.2244207111098189, 1761333886687070367, 
0.9495011568069458, 0.7765698432922363, 1.230369663432642, 1761333886777007763, 
0.9520054459571838, 0.7840729355812073, 1.2373074928299157, 1761333886876990938, 
0.9542608857154846, 0.7912729978561401, 1.2444964161033394, 1761333886976998849, 
0.9568116664886475, 0.7987737059593201, 1.2506261495033506, 1761333887087770238, 
0.9585859775543213, 0.8054518699645996, 1.2548123292716404, 1761333887176981302, 
0.9604749083518982, 0.811594545841217, 1.2621622006868574, 1761333887277019520, 
0.962408185005188, 0.8176531791687012, 1.2678790320901479, 1761333887378057377, 
0.9641154408454895, 0.8244685530662537, 1.2738087068827637, 1761333887487637171, 
0.9657090902328491, 0.8299397230148315, 1.2795836216557652, 1761333887576985130, 
0.9673200249671936, 0.835581362247467, 1.284656772772637, 1761333887677340300, 
0.9688993096351624, 0.8417345881462097, 1.2907633577163886, 1761333887787280447, 
0.970386803150177, 0.8470471501350403, 1.2961487122703117, 1761333887887125127, 
0.9713451266288757, 0.8517495393753052, 1.3004689095179351, 1761333887977276375, 
0.9728355407714844, 0.8571272492408752, 1.3044971310828237, 1761333888077481140, 
0.9739224314689636, 0.8618072867393494, 1.3101329161446642, 1761333888178178580, 
0.9752171039581299, 0.8668393492698669, 1.3138424979923595, 1761333888287565462, 
