e, e_dot, e_int, stamp, 
-0.8324166554158373, 0.0, -0.16648333108316746, 1763160194178900439, 
-0.8324166554158373, 0.0, -0.16648333108316746, 1763160194277973389, 
-0.8324166554158373, 0.0, -0.16648333108316746, 1763160194387820483, 
-0.8324166554158373, 0.0, -0.16648333108316746, 1763160194487896877, 
-0.8324166554158373, 0.0, -0.16648333108316746, 1763160194578900918, 
-0.8271108642478007, 0.01768597056012215, -0.16612961167196502, 1763160194677994717, 
-0.8154692678462397, 0.05649129189865857, -0.16499978583399186, 1763160194787855693, 
-0.8014311477951844, 0.08559905484205414, -0.16293408532594833, 1763160194887794934, 
-0.784815425535839, 0.1021794743680023, -0.16011438941181755, 1763160194978925899, 
-0.7632681736138561, 0.12720991393776102, -0.15663431646299197, 1763160195093427930, 
-0.7427384342480108, 0.14025663762609422, -0.15272146889318042, 1763160195187827529, 
-0.7214229762963711, 0.13948399105828346, -0.14849530561054922, 1763160195288802190, 
-0.7046851900613958, 0.12684414728871643, -0.14458977337371853, 1763160195378932244, 
-0.6891575604764127, 0.10755138606652781, -0.14101771512227862, 1763160195478154048, 
-0.6730841612599362, 0.10533676267153218, -0.13779512745318298, 1763160195587868987, 
-0.657676952681871, 0.1049353593151392, -0.13466124496121468, 1763160195688840434, 
-0.6488425982056782, 0.08080521018085984, -0.13197358080983235, 1763160195778924612, 
-0.6391851499750939, 0.06163934235592361, -0.1297136467241762, 1763160195877486410, 
-0.6303072164100356, 0.061784605985475416, -0.1278889976393872, 1763160195987869474, 
-0.6212550020308132, 0.059767159814269055, -0.12604982456106284, 1763160196088813442, 
-0.612880673012691, 0.058088477991148725, -0.12429619276356932, 1763160196177928883, 
-0.602450627820572, 0.06268124736747056, -0.12243908685760507, 1763160196277597365, 
-0.5913449309230223, 0.07178580696556229, -0.1204450821170857, 1763160196387844357, 
-0.5797792149925995, 0.07557137609324156, -0.11823831824907959, 1763160196488819278, 
-0.5733520370460947, 0.05997631292309199, -0.11629841219744777, 1763160196578871185, 
-0.5633622387382372, 0.05472325418120779, -0.11443289938512875, 1763160196677426649, 
-0.5528100296428117, 0.0684733580109435, -0.11263495369514291, 1763160196787823080, 
-0.5417915611259424, 0.07190225870764937, -0.11053092196713274, 1763160196889867598, 
-0.5316919657977036, 0.0703935461503602, -0.10841957043776385, 1763160196978981297, 
-0.5196064647496353, 0.07395032125435685, -0.10620599944488542, 1763160197095276855, 
-0.5088417303476714, 0.07616745150010724, -0.10400934405966734, 1763160197188885616, 
-0.4987964971748181, 0.06936655858272411, -0.10181631281814167, 1763160197289422659, 
-0.4901989515062797, 0.06214259613797254, -0.09985581193525128, 1763160197378858735, 
-0.47960571084236525, 0.06396928777484286, -0.09790674396823086, 1763160197495930026, 
-0.4718539472915677, 0.06115001404903989, -0.09611057397601418, 1763160197588861546, 
-0.46407371474855097, 0.051773320312714276, -0.09436889152549893, 1763160197685863281, 
-0.4578311488965854, 0.04674266131660776, -0.09291725406244694, 1763160197778920728, 
-0.4502495497846811, 0.04608054987956615, -0.09147696089532117, 1763160197877922680, 
-0.441268201002028, 0.055209826315191224, -0.08995659331221964, 1763160197988152520, 
-0.4340125177267672, 0.054123440193046456, -0.0883686845675651, 1763160198085868255, 
-0.4265912250154442, 0.048923253288612654, -0.08679146291628263, 1763160198178870328, 
-0.41847269868145487, 0.05179939681770773, -0.08527176276157776, 1763160198278872303, 
-0.41125983941015176, 0.05110461868430819, -0.08375491754047007, 1763160198388874463, 
-0.4035406762191799, 0.04977340820758328, -0.08221821428738577, 1763160198486875048, 
-0.396395490552378, 0.04954782952591256, -0.08074640041211396, 1763160198578183420, 
-0.3901231554472312, 0.04472506923982896, -0.07933728814791928, 1763160198678293641, 
-0.38366477132765764, 0.04243573074906785, -0.07801222782181778, 1763160198788942415, 
-0.37743774495072113, 0.04228470165503354, -0.07674837811504066, 1763160198886369242, 
-0.37193140212633014, 0.03911123067109168, -0.07553559456031393, 1763160198978446495, 
-0.36348516537453746, 0.046508598587278925, -0.07419028749677258, 1763160199078938697, 
-0.357283080428196, 0.04882773899378042, -0.0728466431952709, 1763160199188247313, 
-0.3500097313684152, 0.04491811335374093, -0.07138519847807656, 1763160199286393082, 
-0.34336046035119205, 0.046408733590013185, -0.07004355147652022, 1763160199378705166, 
-0.3371215496605403, 0.04296060569291623, -0.06869944942534317, 1763160199479051957, 
-0.3301596092391992, 0.04400283703997624, -0.0673761079500621, 1763160199589558478, 
-0.32426215326190944, 0.04286465466210291, -0.06610288747744326, 1763160199686601021, 
-0.31911714640054534, 0.03680820946217948, -0.06490259392677693, 1763160199779893199, 
-0.3145047950500688, 0.03252452737280217, -0.06385893964750157, 1763160199880262536, 
-0.30883045845979806, 0.034288959802490915, -0.06283015999402748, 1763160199990000714, 
-0.3032351103829143, 0.037565615557181666, -0.06177135759285207, 1763160200087089793, 
-0.29919558169112115, 0.03211625589558972, -0.06075074336892223, 1763160200179233440, 
-0.294791996971977, 0.028143711369790953, -0.05981484593640083, 1763160200280181414, 
-0.289443405208784, 0.03250725494112391, -0.05889539892479214, 1763160200389898395, 
-0.28571312388341275, 0.03026291029521418, -0.05799656840427825, 1763160200488844388, 
-0.2820987725514368, 0.02448210885782398, -0.0571503534429089, 1763160200578943123, 
-0.27801575045091553, 0.025657911441657372, -0.056388509792384335, 1763160200678911160, 
-0.2720715447041713, 0.033424092824218356, -0.05547907118043491, 1763160200788920799, 
-0.2680033461447193, 0.03337468102065403, -0.05453937608665374, 1763160200888849834, 
-0.26425016734315987, 0.026071257870038018, -0.053621670546136695, 1763160200978957717, 
-0.25953734972426123, 0.02821998806819363, -0.05278605754747603, 1763160201079033301, 
-0.2529505213258765, 0.037665486724277976, -0.051782535892886505, 1763160201188909824, 
-0.24782134753751595, 0.0390533406224843, -0.05068728123917691, 1763160201288853799, 
-0.2446245258887727, 0.027753318123679243, -0.049693092983477676, 1763160201378957793, 
-0.23894794328458446, 0.029578014176438277, -0.048759587780724874, 1763160201478247223, 
-0.23445008272547252, 0.03391481054433395, -0.047868170126588644, 1763160201588913601, 
-0.22972383476878555, 0.030747028385996373, -0.0468747907185895, 1763160201688856772, 
-0.22588744817295958, 0.028542115175043126, -0.04600409104448118, 1763160201778965688, 
-0.22260197145914917, 0.023739544365454595, -0.04521421696005962, 1763160201878342774, 
-0.21974811415499063, 0.020464446726563185, -0.04454916891913996, 1763160201988920915, 
-0.21527028178464946, 0.024438965581665695, -0.04384135782658595, 1763160202088867843, 
-0.21261359993769724, 0.02378171405764462, -0.04317546639182249, 1763160202178975935, 
-0.2090120409447016, 0.0208608027998262, -0.04245972817780322, 1763160202278500230, 
-0.20634156336464704, 0.020906788576833996, -0.04186448028313639, 1763160202388939155, 
-0.20298685408526373, 0.020083956198126234, -0.04122269722630749, 1763160202488869999, 
-0.19876740724346464, 0.025247187070607986, -0.040539721646225026, 1763160202579022912, 
-0.19617324637756295, 0.022712025692335953, -0.03986183384708609, 1763160202678783746, 
-0.19159617383171446, 0.02390411137250063, -0.03910245516351614, 1763160202789929648, 
-0.19050139360044116, 0.018906175923739294, -0.03855138758731457, 1763160202838948916, 
