acc_x, acc_y, angular_z, stamp, 
-0.005756258964538574, -0.018925070762634277, -3.9327525350096615e-10, 1759519743440436227, 
-0.03244006633758545, 0.026063919067382812, -4.4333097986211895e-10, 1759519743470406826, 
-0.01749366521835327, -0.008009850978851318, -4.949371961114637e-10, 1759519743501867771, 
0.018832743167877197, 0.020655453205108643, 2.145752657752538e-06, 1759519743529638924, 
-0.011514127254486084, -0.006489992141723633, -3.961529259943251e-10, 1759519743619470988, 
0.014023125171661377, 0.020428955554962158, -5.107383249378906e-10, 1759519743649417106, 
0.032118260860443115, 0.00415492057800293, -3.280858120906411e-10, 1759519743679412380, 
0.00679248571395874, -0.019206345081329346, -2.3572276320945e-10, 1759519743710248960, 
-0.04343819618225098, -0.0065097808837890625, 1.8813012650951893e-06, 1759519743741927765, 
0.026928186416625977, 0.006103098392486572, -4.015185546316496e-10, 1759519743769233414, 
0.028727412223815918, 0.0007067322731018066, -4.395654480415539e-10, 1759519743798191808, 
-0.009223461151123047, -0.015391290187835693, -2.9207317790700517e-10, 1759519743829102148, 
-0.03820157051086426, -0.00438237190246582, -3.5130086373701974e-10, 1759519743859173308, 
-0.04513406753540039, 0.01016700267791748, -4.983412994693914e-10, 1759519743889004793, 
0.014262259006500244, 0.011935710906982422, -5.071418709748051e-10, 1759519743918999479, 
0.04277604818344116, -0.011537373065948486, -4.092684746715369e-10, 1759519743949998722, 
0.0028003454208374023, -0.006128072738647461, 1.8409701527065292e-06, 1759519743982370856, 
-0.03484469652175903, -0.009814858436584473, -2.422235711202118e-10, 1759519744008979784, 
0.0049953460693359375, 0.009932875633239746, -2.460985711851797e-10, 1759519744037768304, 
0.012278556823730469, -0.013554394245147705, -1.6147469544657317e-10, 1759519744067756691, 
-0.003952622413635254, -0.004654347896575928, -3.793866085650144e-11, 1759519744098708292, 
0.015790343284606934, 0.0010641217231750488, -1.6754301345963772e-10, 1759519744221858900, 
-0.02413201332092285, -0.0003892183303833008, -1.7193980959954107e-10, 1759519744278434879, 
0.020748436450958252, 0.022995591163635254, -1.667831063064153e-10, 1759519744308377359, 
