e, e_dot, e_int, stamp, 
-0.9193910701685887, 4.656603621218854e-09, -0.18387821418893785, 1763160096242559151, 
-0.9193910687716075, 7.761006282080984e-09, -0.1838782140026737, 1763160096332482000, 
-0.9193910673746264, 9.31320761251205e-09, -0.18387821375432148, 1763160096432708039, 
-0.9193910657456135, 1.0086646703063215e-08, -0.18387821345945649, 1763160096542224936, 
-0.9193910643486324, 1.0086646703063215e-08, -0.18387821316459146, 1763160096642060888, 
-0.9191855664809049, 0.0006849975490286209, -0.18386451310501004, 1763160096732584682, 
-0.8884124218544938, 0.10326214164712873, -0.1817992701789354, 1763160096832686698, 
-0.8492308742532853, 0.23318230742539878, -0.17712192417257894, 1763160096932209218, 
-0.8072902413582235, 0.27040726832090095, -0.16966223583106685, 1763160097022589424, 
-0.7458090696595743, 0.34473934864570327, -0.16015534568473885, 1763160097133808875, 
-0.6999829966629478, 0.3576908156509188, -0.15020548717871637, 1763160097232663271, 
-0.6527288229969855, 0.3102674888752958, -0.1399013926213005, 1763160097343022709, 
-0.6046567096811386, 0.3177542899393641, -0.13049123528940482, 1763160097442777042, 
-0.5699429828069039, 0.2759528006336054, -0.1218219010323352, 1763160097533812203, 
-0.5644099645354912, 0.13415581715215805, -0.11593397713490225, 1763160097632252878, 
-0.5512761098862626, 0.062222909735470955, -0.11237527048191051, 1763160097742363843, 
-0.5446438595215723, 0.06588701671306281, -0.11068866226288841, 1763160097842110072, 
-0.5397189284088322, 0.03852393825810152, -0.10904259318777781, 1763160097932603924, 
-0.2089599444058995, 1.1189463837189095, -0.08622151548908692, 1763160114429725138, 
-0.20896021944865473, 1.102529029867258, -0.06384260615089242, 1763160114529354059, 
-0.20896022986630203, -9.515346751272821e-07, -0.041792026248057085, 1763160114639665112, 
-0.20895997247101583, 8.232587963193557e-07, -0.041792028119064836, 1763160114737906643, 
-0.2089598440577135, 1.2860286284036941e-06, -0.04179200309300209, 1763160114829704465, 
-0.20895971156387083, 8.696904833331113e-07, -0.041791968539506674, 1763160114879917165, 
-0.20810298829714513, 0.0028561858685612527, -0.04173483626124863, 1763160115039864424, 
-0.21213636907553213, -0.01058885837220432, -0.04194660459576987, 1763160115090946024, 
-0.22838556326382287, -0.06760858322225911, -0.043241661375766675, 1763160115187816347, 
-0.2486442255812631, -0.12169285501910321, -0.045944410528041206, 1763160115279019777, 
-0.2653105685375563, -0.12308335091244478, -0.04948935715884282, 1763160115438139904, 
-0.26758440419965923, -0.06313392872798713, -0.05210261322123191, 1763160115538846430, 
-0.2690128745552547, -0.012341020058994623, -0.05346052315283135, 1763160115583741077, 
-0.26759931467243103, -4.970157590600266e-05, -0.053613106228489665, 1763160115683885383, 
