acc_x, acc_y, angular_z, stamp, 
0.012265801429748535, 0.009346306324005127, -1.9844801604041917e-06, 1759518766128384825, 
-0.014802157878875732, -0.010411441326141357, -5.593236223474403e-10, 1759518766158263429, 
0.022857606410980225, 0.0057021379470825195, -1.9866171890857216e-06, 1759518766188274018, 
-0.0022899508476257324, -0.012307882308959961, -5.565865800955165e-10, 1759518766218275852, 
0.0011795759201049805, 0.00395888090133667, -4.5201793721812417e-10, 1759518766249355024, 
0.008272171020507812, 0.0022112131118774414, -1.860987810305764e-06, 1759518766281389299, 
0.01016157865524292, 0.004104316234588623, -3.628513041161594e-10, 1759518766308321873, 
0.0030395984649658203, -0.013692796230316162, -1.659156289390883e-10, 1759518766338087193, 
-0.014875829219818115, 0.006207883358001709, 1.7968730203255832e-11, 1759518766368085956, 
-0.011120319366455078, -0.00451505184173584, 9.013667717586993e-11, 1759518766398194831, 
-0.007408320903778076, 0.0026593804359436035, 1.3366249548159697e-10, 1759518766428141688, 
-0.010834038257598877, -0.006344139575958252, 7.003539790511334e-11, 1759518766458108937, 
-0.014232635498046875, 0.025969088077545166, 7.597745725218353e-11, 1759518766489430671, 
0.020186185836791992, -0.006462693214416504, -4.2309613205263265e-12, 1759518766519899481, 
0.0076451897621154785, -0.0011605024337768555, -5.190711727292163e-11, 1759518766548286312, 
0.01846778392791748, -0.010226786136627197, -8.957071623557501e-11, 1759518766578005851, 
0.007740318775177002, 0.0076441168785095215, -1.1976424779034288e-10, 1759518766608078197, 
-0.013814806938171387, 0.007543206214904785, -1.48000217336097e-10, 1759518766638009488, 
0.025672495365142822, -0.019552767276763916, -1.8987600412952642e-10, 1759518766667972435, 
-0.022853553295135498, 0.019786298274993896, -2.4236815967926566e-10, 1759518766698372444, 
-0.0013285279273986816, -0.01451641321182251, -1.8956383034289521e-06, 1759518766729820499, 
-0.008396565914154053, -0.012658178806304932, -3.121228598187894e-10, 1759518766757402369, 
0.0312158465385437, -0.0072318315505981445, -2.0020247267255563e-06, 1759518766787177866, 
-0.015442073345184326, 0.014294922351837158, -1.998731957032128e-10, 1759518766817120173, 
0.042109787464141846, 0.003472447395324707, -1.8799398351398082e-10, 1759518766847130883, 
0.0023804306983947754, 0.010624706745147705, -1.995051778627629e-06, 1759518766877010132, 
-0.01571577787399292, -0.012896716594696045, -2.640349105125262e-10, 1759518766906969763, 
0.004086613655090332, -0.003983795642852783, -2.690091996712466e-10, 1759518766937447422, 
-0.01564699411392212, -0.014805972576141357, -2.455182746407514e-10, 1759518766970333501, 
0.020270705223083496, -0.00405728816986084, -2.7473352352170296e-10, 1759518766996991151, 
0.0074097514152526855, -0.004025697708129883, -2.0586182611154406e-06, 1759518767025948762, 
-0.02518486976623535, 0.008607566356658936, -2.834776182054387e-10, 1759518767055849764, 
-0.0017712712287902832, -0.004007935523986816, -2.7062072234766787e-10, 1759518767086649783, 
3.248453140258789e-05, 0.012082517147064209, -2.6940306965825364e-10, 1759518767116619259, 
0.03224366903305054, -0.011458396911621094, -1.987315806424371e-06, 1759518767146616470, 
-0.010981142520904541, -0.002514481544494629, -3.412761677003464e-10, 1759518767178150857, 
-0.030751049518585205, 0.01730632781982422, -3.218702695112518e-10, 1759518767208746407, 
0.005420088768005371, 0.015481233596801758, -2.8530600233508407e-10, 1759518767236453824, 
0.04860997200012207, -0.007998287677764893, -1.9896054518988984e-06, 1759518767266415432, 
0.014027953147888184, -0.00805431604385376, -3.17729618338192e-10, 1759518767296322277, 
-0.031026005744934082, -0.016986191272735596, -3.518724559373035e-10, 1759518767326521449, 
-0.016467154026031494, 0.02634143829345703, -2.48487636136105e-10, 1759518767356280240, 
0.04835230112075806, 0.0031546354293823242, -1.98732734820914e-06, 1759518767386274749, 
0.03723800182342529, 0.012330591678619385, -8.785559098226696e-11, 1759518767417777070, 
-0.026087641716003418, -0.021655678749084473, -6.475679161003971e-11, 1759518767449477876, 
-0.018823444843292236, -0.010623931884765625, 4.8575299146683126e-11, 1759518767476307236, 
0.035079896450042725, 0.007437944412231445, 1.1842160396510361e-10, 1759518767506137405, 
0.034722328186035156, -0.006942391395568848, -1.978359127924466e-06, 1759518767536264190, 
-0.04106408357620239, -0.0032334327697753906, 1.4655026981235324e-10, 1759518767566138562, 
-0.03377258777618408, -0.01746159791946411, 1.9814075881287632e-10, 1759518767595847214, 
0.020343005657196045, 0.007737159729003906, 2.2746715329344366e-10, 1759518767626068800, 
0.022079408168792725, -0.01381593942642212, 1.9556796285423405e-10, 1759518767657462291, 
0.005460858345031738, -0.024497032165527344, 2.5271549103244595e-10, 1759518767687902409, 
-0.06620931625366211, -0.002707362174987793, 3.910535197658056e-10, 1759518767714761387, 
0.015132367610931396, 0.009941458702087402, 2.9540401887007263e-10, 1759518767745604019, 
0.0565219521522522, 0.00806725025177002, 2.1349320368749335e-10, 1759518767775537985, 
0.0004150271415710449, -0.013658404350280762, 2.0140483205306376e-10, 1759518767805512803, 
-0.041265666484832764, 0.00792241096496582, 2.069269320233533e-10, 1759518767835430476, 
-0.024821758270263672, 0.015236854553222656, -1.9626607265856935e-06, 1759518767865796162, 
0.013210594654083252, 0.009868979454040527, 1.7879938949818053e-10, 1759518767897823458, 
0.029406964778900146, -0.015252113342285156, 1.4991735452190614e-10, 1759518767925391098, 
-0.03340369462966919, -0.0043198466300964355, 1.802642555979344e-10, 1759518767955247608, 
-0.03477907180786133, 0.002940535545349121, 1.3661609850662447e-10, 1759518767985219745, 
0.02162349224090576, -0.006146550178527832, -5.93711764330158e-13, 1759518768015125964, 
0.023810386657714844, 0.040390193462371826, -7.409399191516473e-11, 1759518768045109690, 
0.027285993099212646, -0.018972694873809814, -5.037747421732855e-11, 1759518768075078915, 
-0.05009728670120239, -0.002802431583404541, -2.6861598615079112e-11, 1759518768105878866, 
-0.010194838047027588, 0.01522916555404663, 1.8512443360336127e-06, 1759518768138075052, 
0.04744750261306763, 0.0044449567794799805, -9.111977654422875e-11, 1759518768165057136, 
0.01140362024307251, -0.01706916093826294, -7.250454862225576e-11, 1759518768194848679, 
-0.03539144992828369, -0.004340648651123047, -7.01115955163108e-11, 1759518768223811376, 
