odom_x, odom_y, odom_th, odom_vx, odom_yawrate, pf_x, pf_y, pf_th, stamp, 
2.672414893822861e-07, -3.1427384783455636e-07, 3.099370668742181e-06, 0.0, -3.098536751622305e-07, -0.02454038805852937, 0.03650874871378257, -0.035106822587075946, 1763159770125214968, 
2.672414893822861e-07, -3.1427384783455636e-07, 3.099372591817849e-06, 0.0, -7.321733050957846e-07, -0.02586482836834657, 0.03699682823030778, -0.03764881340326461, 1763159770335307968, 
2.8779857075278414e-07, -3.3844875702016e-07, 3.3378033290509585e-06, 4.0971635776848235e-07, 3.0507926567224786e-06, -0.02635805715711721, 0.03786030279480569, -0.03695552985275453, 1763159770525249187, 
3.083556521232822e-07, -3.626236662057636e-07, 3.576224403526299e-06, 4.129015462343428e-07, 2.8558752092067152e-06, -0.02209583065636863, 0.036673164672509174, -0.03855437382410821, 1763159770785162589, 
3.083556521232822e-07, -3.626236662057636e-07, 3.576226437279512e-06, 0.0, -1.2588668596436037e-06, -0.023275466030389082, 0.03704407713091233, -0.04002627700980497, 1763159770974211887, 
3.083556521232822e-07, -3.626236662057636e-07, 3.5762198081613454e-06, 0.0, -1.9959743724484724e-07, -0.02323415201107257, 0.039514512805643345, -0.03822299597750854, 1763159771185164571, 
3.083556521232822e-07, -3.626236662057636e-07, 3.576210347904356e-06, 0.0, 1.9576233967200096e-07, -0.018925980866694923, 0.0401708391097517, -0.03849599390496814, 1763159771235089549, 
3.083556521232822e-07, -3.626236662057636e-07, 3.5762006735380865e-06, 0.0, 1.8600784107425383e-11, -0.017214808896504886, 0.03428980130263403, -0.03833664402191353, 1763159771375146511, 
3.083556521232822e-07, -3.626236662057636e-07, 3.5762006735380865e-06, 0.0, 1.7828865120361748e-11, -0.01741132055204953, 0.03820228862694441, -0.03887642820757652, 1763159771486494721, 
3.083556521232822e-07, -3.626236662057636e-07, 3.5762006735380865e-06, 0.0, 2.2724282525143913e-11, -0.023082353543331692, 0.03742318758731978, -0.03544877566650557, 1763159771675118712, 
0.001450726413168013, -0.00013571234012488276, 0.00016044630173307786, 0.029637728073561114, 0.002659204415977001, -0.02119530155168684, 0.03968430761250208, -0.03848147962876864, 1763159771775223757, 
0.032655470073223114, -0.0010139441583305597, -0.02698396934585706, 0.2034173988909044, -0.21705345809459686, -0.010519097583788639, 0.02936073429960374, -0.04220365490096275, 1763159771985155098, 
0.05681722238659859, -0.0022360049188137054, -0.04949813062881421, 0.28724100025298427, -0.25753360986709595, 0.018018088140290323, 0.03253316511064867, -0.06924034943505322, 1763159772075307430, 
0.11725199967622757, -0.007881762459874153, -0.10439859255871403, 0.2799594331972944, -0.307507187128067, 0.06400056215691532, 0.02632549091975551, -0.11161575390987076, 1763159772275599924, 
0.148870587348938, -0.012370714917778969, -0.13859254140258215, 0.2965066106819318, -0.2823105454444885, 0.09777309832123843, 0.021122940525986175, -0.14899089411545652, 1763159772385183122, 
0.17547833919525146, -0.016865715384483337, -0.16394375883520024, 0.300233462365635, -0.2880035936832428, 0.14152245111503664, 0.014858168786699011, -0.18913534310210445, 1763159772475191087, 
0.23271480202674866, -0.029234860092401505, -0.22241549960210782, 0.2929126518899278, -0.29277506470680237, 0.18881567951747638, 0.004516420481817014, -0.23482082272801438, 1763159772675249995, 
0.2635689675807953, -0.037291429936885834, -0.2552037063990147, 0.2895097841659959, -0.2956986725330353, 0.22946870105692532, -0.0038453567793839383, -0.2766711104511124, 1763159772785188916, 
0.3181736469268799, -0.05419500172138214, -0.30789765595857166, 0.2997145866748177, -0.27233803272247314, 0.277556454315801, -0.015251401958318613, -0.3190072735416759, 1763159772975237392, 
0.3478594422340393, -0.0649259015917778, -0.3387659825096976, 0.282135842146713, -0.28204086422920227, 0.3187781143588596, -0.029959036231174806, -0.36021511862601874, 1763159773085400876, 
0.37396666407585144, -0.07488806545734406, -0.3653952566400467, 0.27921884705612804, -0.2634849548339844, 0.36032676878321274, -0.04522771369645933, -0.3970961161457324, 1763159773185193882, 
0.3958958387374878, -0.08405333012342453, -0.3858199501321167, 0.25674697472872887, -0.2035246193408966, 0.39930071778176907, -0.05928916141277128, -0.4315970036826284, 1763159773275127689, 
0.4416567385196686, -0.10450109094381332, -0.418778878013875, 0.24991275108669073, -0.16684643924236298, 0.43087474961688355, -0.07084844072405037, -0.454117212623346, 1763159773475423241, 
0.4653548300266266, -0.11583618074655533, -0.4367216492577154, 0.23508957627500768, -0.1679549664258957, 0.4640084061144351, -0.0882657133741783, -0.471407698599989, 1763159773585173974, 
0.5033920407295227, -0.13499332964420319, -0.4652149747735241, 0.22138712051854362, -0.15765632688999176, 0.4900527476858669, -0.10301500533877006, -0.49186610929357893, 1763159773775241213, 
0.5222854614257812, -0.14505308866500854, -0.47743525056267677, 0.22099902867275398, -0.1298902928829193, 0.5237548558423637, -0.11979200878868851, -0.5136034319295119, 1763159773875622738, 
0.5422675013542175, -0.1559872031211853, -0.49279334762307075, 0.20592296631303647, -0.13734644651412964, 0.5493977159815938, -0.1333227849766726, -0.5326888547653252, 1763159773985207010, 
0.5751752853393555, -0.17491905391216278, -0.5229122563093581, 0.19410013313628846, -0.16390454769134521, 0.5751710599485227, -0.150327867268662, -0.5521192313157698, 1763159774175264454, 
0.6100751161575317, -0.19687388837337494, -0.5644947667425401, 0.201675904716699, -0.20956476032733917, 0.5954957377909135, -0.16320261184153284, -0.5798097626314714, 1763159774385181597, 
0.6248919367790222, -0.20666994154453278, -0.5806647690651308, 0.18938044981917737, -0.1714724451303482, 0.6147504773098486, -0.1747828158231474, -0.6055865370270362, 1763159774476178998, 
0.6398380398750305, -0.2170778214931488, -0.597714779780913, 0.1783262996423865, -0.18276873230934143, 0.6470060690016345, -0.19137464233672075, -0.6360405853510573, 1763159774575278672, 
