odom_x, odom_y, odom_th, odom_vx, odom_yawrate, pf_x, pf_y, pf_th, stamp, 
3.410605131648481e-13, 4.654054919228656e-13, 4.698287178548694e-10, 4.1123308539696784e-07, 2.7174112346983748e-06, 0, 0, 0, 1763153816701663848, 
3.410605131648481e-13, 4.654054919228656e-13, 4.656942251242077e-10, 0.0, -3.0135304314171663e-06, 0, 0, 0, 1763153816801639227, 
3.410605131648481e-13, 4.654054919228656e-13, 4.798300528449212e-10, 0.0, -1.129519660025835e-06, 0, 0, 0, 1763153816891754851, 
2.0557582303126765e-08, -2.4174385160335987e-08, 2.3888804530503604e-07, 0.0, -1.7653445638643461e-06, 0, 0, 0, 1763153817011689548, 
2.0557582303126765e-08, -2.4174385160335987e-08, 2.389011586122267e-07, 0.0, -1.931716269609751e-06, 0, 0, 0, 1763153817101695856, 
4.1114819993026686e-08, -4.834922862073654e-08, 4.773116117956854e-07, 4.1244143921822945e-07, 2.69408315034525e-06, 0, 0, 0, 1763153817201643580, 
4.1114819993026686e-08, -4.834922862073654e-08, 4.773215241500082e-07, 0.0, -7.703313826823432e-07, 0, 0, 0, 1763153817291663992, 
4.1114819993026686e-08, -4.834922862073654e-08, 4.773252920181935e-07, 0.0, 0.0, 0, 0, 0, 1763153817406673622, 
0.005550676491111517, -0.0006556615117006004, -0.006372486684841548, 0.07944685944542132, -0.12629450857639313, 0, 0, 0, 1763153817506668288, 
0.018000705167651176, -0.001418704865500331, -0.025033225253751845, 0.1599315211484865, -0.23605208098888397, 0, 0, 0, 1763153817596651010, 
0.034901008009910583, -0.002733379602432251, -0.05234220398805874, 0.16667642175575303, -0.2842984199523926, 0, 0, 0, 1763153817696343581, 
0.051060888916254044, -0.004908148664981127, -0.07799621412612676, 0.14370831995049047, -0.21232321858406067, 0, 0, 0, 1763153817806773596, 
0.06585091352462769, -0.007159085012972355, -0.10105477983696402, 0.14975307431072, -0.23375889658927917, 0, 0, 0, 1763153817906676693, 
0.07948420196771622, -0.009542951360344887, -0.12244151832599595, 0.1553706082691603, -0.24613024294376373, 0, 0, 0, 1763153817996700069, 
0.09435044974088669, -0.012208797037601471, -0.14684450048968775, 0.14783394749125947, -0.2361501008272171, 0, 0, 0, 1763153818096760506, 
0.10995009541511536, -0.01567092537879944, -0.1704292437970602, 0.1414664220212137, -0.2108902782201767, 0, 0, 0, 1763153818206938166, 
0.12327829003334045, -0.018936874344944954, -0.18891043246484326, 0.1371395693030517, -0.17079278826713562, 0, 0, 0, 1763153818306705564, 
0.1349496990442276, -0.022091008722782135, -0.20476709511445373, 0.14200804151019447, -0.17498046159744263, 0, 0, 0, 1763153818396655555, 
0.14758911728858948, -0.025746917352080345, -0.221323028581192, 0.13197109117362285, -0.17497827112674713, 0, 0, 0, 1763153818496478527, 
0.16147741675376892, -0.02964174933731556, -0.2384567104876634, 0.1301032195755208, -0.16452111303806305, 0, 0, 0, 1763153818607057191, 
0.17349977791309357, -0.03333141282200813, -0.2553896650408411, 0.129034278215491, -0.16507525742053986, 0, 0, 0, 1763153818706682608, 
0.18442225456237793, -0.036822039633989334, -0.2679587144103534, 0.12658323376336883, -0.13244971632957458, 0, 0, 0, 1763153818797661653, 
0.19617994129657745, -0.040625862777233124, -0.282954071109467, 0.12651160065569417, -0.15295639634132385, 0, 0, 0, 1763153818896168685, 
0.20898449420928955, -0.04494684934616089, -0.2992521011084169, 0.12006754198309116, -0.13812263309955597, 0, 0, 0, 1763153819007876112, 
0.22046628594398499, -0.04910498112440109, -0.3142355211391077, 0.12350434210269193, -0.14449335634708405, 0, 0, 0, 1763153819106685635, 
0.23097451031208038, -0.052930183708667755, -0.3263201523347598, 0.12175098842801059, -0.13145287334918976, 0, 0, 0, 1763153819196686694, 
0.24163785576820374, -0.05733107030391693, -0.3416291117650027, 0.11437657519365667, -0.13511191308498383, 0, 0, 0, 1763153819297020552, 
0.25328487157821655, -0.0623658262193203, -0.35915981412828335, 0.11673318955853743, -0.15536825358867645, 0, 0, 0, 1763153819406695627, 
0.26344141364097595, -0.06682297587394714, -0.3732430807069474, 0.10860324633015664, -0.13174138963222504, 0, 0, 0, 1763153819507754461, 
0.2723173499107361, -0.07104554772377014, -0.3869074080497287, 0.10396486568620282, -0.1496438831090927, 0, 0, 0, 1763153819597701739, 
0.2819329798221588, -0.07556004077196121, -0.4020966376575462, 0.10712742705936479, -0.16004931926727295, 0, 0, 0, 1763153819696404521, 
0.2874288260936737, -0.07837320864200592, -0.41018455846847907, 0.10224644437040482, -0.13421569764614105, 0, 0, 0, 1763153819756636139, 
0.29707518219947815, -0.0827636644244194, -0.42327694517622083, 0.1075119874501364, -0.1293778121471405, 0, 0, 0, 1763153819856971242, 
0.30553433299064636, -0.08741913735866547, -0.4370993691477554, 0.1006970563881323, -0.1451871693134308, 0, 0, 0, 1763153819953752845, 
0.3138435184955597, -0.09180813282728195, -0.44932875210471857, 0.09983710917115098, -0.12326312065124512, 0, 0, 0, 1763153820046712503, 
0.3235591650009155, -0.09694341570138931, -0.4618516906863748, 0.10271762892253576, -0.13223418593406677, 0, 0, 0, 1763153820156969886, 
0.3318106234073639, -0.10172205418348312, -0.4743782372462893, 0.09250599369959064, -0.130879744887352, 0, 0, 0, 1763153820258001873, 
0.3395838141441345, -0.1064593642950058, -0.48651595521678637, 0.09662896118900376, -0.13042773306369781, 0, 0, 0, 1763153820353088586, 
0.3515644967556, -0.11341927945613861, -0.5037499926524132, 0.09623176118394938, -0.11419741809368134, 0, 0, 0, 1763153820496181604, 
0.3560379147529602, -0.11636411398649216, -0.511298631931527, 0.0881541064723736, -0.12456424534320831, 0, 0, 0, 1763153820556748643, 
0.3674548268318176, -0.12374203652143478, -0.5276451004765476, 0.09131045959007494, -0.11921903491020203, 0, 0, 0, 1763153820708048418, 
0.37411585450172424, -0.12800203263759613, -0.5377857904129631, 0.08557175045712866, -0.11664474010467529, 0, 0, 0, 1763153820796435141, 
0.38132110238075256, -0.13272468745708466, -0.5492193509901656, 0.0867338041585679, -0.1045524924993515, 0, 0, 0, 1763153820897460535, 
0.38880982995033264, -0.13816902041435242, -0.5612227702499405, 0.08463102412061353, -0.10950086265802383, 0, 0, 0, 1763153821007748396, 
0.3950045704841614, -0.14296112954616547, -0.5720473615317241, 0.07745318252704132, -0.11599895358085632, 0, 0, 0, 1763153821108300161, 
0.3982071280479431, -0.14528843760490417, -0.5771632207969422, 0.08682997509936914, -0.11240635812282562, 0, 0, 0, 1763153821153821426, 
0.4090740978717804, -0.15282686054706573, -0.5922606753680603, 0.08330415320044478, -0.08457820862531662, 0, 0, 0, 1763153821314106784, 
0.41151612997055054, -0.15496230125427246, -0.5955117425174247, 0.07579926863488125, -0.07643896341323853, 0, 0, 0, 1763153821356563582, 
0.42030203342437744, -0.161820188164711, -0.6091869173534225, 0.07752129188518346, -0.08996837586164474, 0, 0, 0, 1763153821505050622, 
0.42317941784858704, -0.1642046570777893, -0.6144483126500448, 0.07547265662889464, -0.10668109357357025, 0, 0, 0, 1763153821554395475, 
