x, y, th, stamp, 
-2.5182568168828285, -6.2755252403222315, -1.660558076275479, 28119000000, 
-2.5182568653807866, -6.2755253364768775, -1.6605583729598299, 28153000000, 
-2.5182569030195934, -6.275525223783099, -1.6605587598314564, 28187000000, 
-2.51825693560643, -6.275525207373326, -1.6605591971160332, 28221000000, 
-2.5182560025477283, -6.275509822599456, -1.652710995209652, 28255000000, 
-2.5182602926862754, -6.275523479059866, -1.6295639545679932, 28289000000, 
-2.51826636116532, -6.27559816385733, -1.6095555569428663, 28323000000, 
-2.518272055104098, -6.275743128950294, -1.596808592589756, 28357000000, 
-2.518276401324459, -6.275882175381035, -1.580435290236178, 28391000000, 
-2.5182788051364926, -6.276071739929977, -1.560916582030825, 28425000000, 
-2.518275739186128, -6.2763232063997325, -1.5442259769451185, 28459000000, 
-2.518266231874043, -6.2766326146736375, -1.528581294299844, 28493000000, 
-2.5182527888298494, -6.276939462615776, -1.5110874669753447, 28527000000, 
-2.518229572090246, -6.277302593547124, -1.4934744470385726, 28561000000, 
-2.5181955245148036, -6.277722565731648, -1.4769102341865636, 28595000000, 
-2.518154151567566, -6.278142036384839, -1.4601518582561495, 28629000000, 
-2.5180994869777615, -6.278616078744366, -1.442864396953383, 28663000000, 
-2.5180287444561853, -6.279145491340566, -1.4258157003421985, 28697000000, 
-2.517949185829827, -6.279673673129394, -1.4090010854439892, 28731000000, 
-2.517851105224272, -6.28025616870209, -1.3919957061040729, 28765000000, 
-2.5177328235130765, -6.2808920196616675, -1.3749083352166673, 28799000000, 
-2.5176036581079475, -6.281526116832901, -1.3579467203348887, 28833000000, 
-2.517451410863359, -6.282213083429068, -1.3409985705398406, 28867000000, 
-2.5172742815082567, -6.282952160578634, -1.3239764573327835, 28901000000, 
-2.5170703562154473, -6.283743107825075, -1.306964650162244, 28935000000, 
-2.5168530000855527, -6.28453048167927, -1.2899915508204873, 28969000000, 
-2.516606238275832, -6.28536850888144, -1.2730027006429943, 29003000000, 
-2.516328198669723, -6.2862560003753565, -1.2559957910543393, 29037000000, 
-2.5160352222587115, -6.28713897598063, -1.239002851732682, 29071000000, 
-2.515708440871339, -6.288070273920589, -1.2220157874150461, 29105000000, 
-2.515346055171305, -6.289048763151111, -1.2050188171939977, 29139000000, 
-2.5149466129629263, -6.290073968285356, -1.188020924000844, 29173000000, 
-2.5145296709210196, -6.291092040582313, -1.171029431744625, 29207000000, 
-2.5140733236169415, -6.292155117002873, -1.1540369037951121, 29241000000, 
-2.513575677935389, -6.293261640998077, -1.1370399181270383, 29275000000, 
-2.513059304665248, -6.294359712811156, -1.1200444635943962, 29309000000, 
-2.512499277933023, -6.295499442899347, -1.1030514842055759, 29343000000, 
-2.5118939870457173, -6.2966796622037124, -1.0860548309625875, 29377000000, 
-2.5112689636004317, -6.297849728467964, -1.0690591558919955, 29411000000, 
-2.5105963456142053, -6.299058111147135, -1.0520634059511904, 29445000000, 
-2.5098750470498996, -6.3003041000769615, -1.0350668128026361, 29479000000, 
-2.509103322416798, -6.301586037006817, -1.018069335386966, 29513000000, 
-2.5083096566413694, -6.302854375733583, -1.0010744752013971, 29547000000, 
-2.5074638984678854, -6.304156995349422, -0.9840794407635166, 29581000000, 
-2.506564391732374, -6.305491814661012, -0.9670862769358465, 29615000000, 
-2.505642082774634, -6.306810993826875, -0.9500968748815394, 29649000000, 
-2.504664387058543, -6.3081603002759, -0.9331076824016853, 29683000000, 
-2.5036297781196195, -6.309537940399772, -0.9161146889497241, 29717000000, 
-2.5025369615924866, -6.310942346541363, -0.8991236566371188, 29751000000, 
-2.5014205360909134, -6.312328100038834, -0.8821327624019335, 29785000000, 
-2.5002441747054442, -6.3137379772066655, -0.8651417907663083, 29819000000, 
-2.4990071483818124, -6.315170428638214, -0.848149591346607, 29853000000, 
